,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
0,2022-11-23 04:21:06,None,Afghanistan,205324,7833,,
0,2022-11-24 04:21:09,None,Afghanistan,205391,7833,67.0,0.0
0,2022-11-25 04:21:06,None,Afghanistan,205506,7833,115.0,0.0
0,2022-11-26 04:21:11,None,Afghanistan,205541,7833,35.0,0.0
0,2022-11-27 04:21:05,None,Afghanistan,205612,7833,71.0,0.0
0,2022-11-28 04:21:02,None,Afghanistan,205612,7833,0.0,0.0
0,2022-11-29 04:21:05,None,Afghanistan,205802,7833,190.0,0.0
0,2022-11-30 04:21:07,None,Afghanistan,205830,7833,28.0,0.0
1,2022-11-23 04:21:06,None,Albania,333282,3594,127452.0,-4239.0
1,2022-11-24 04:21:09,None,Albania,333293,3594,11.0,0.0
1,2022-11-25 04:21:06,None,Albania,333305,3594,12.0,0.0
1,2022-11-26 04:21:11,None,Albania,333316,3594,11.0,0.0
1,2022-11-27 04:21:05,None,Albania,333322,3594,6.0,0.0
1,2022-11-28 04:21:02,None,Albania,333330,3594,8.0,0.0
1,2022-11-29 04:21:05,None,Albania,333330,3594,0.0,0.0
1,2022-11-30 04:21:07,None,Albania,333338,3594,8.0,0.0
2,2022-11-23 04:21:06,None,Algeria,271035,6881,-62303.0,3287.0
2,2022-11-24 04:21:09,None,Algeria,271041,6881,6.0,0.0
2,2022-11-25 04:21:06,None,Algeria,271050,6881,9.0,0.0
2,2022-11-26 04:21:11,None,Algeria,271057,6881,7.0,0.0
2,2022-11-27 04:21:05,None,Algeria,271061,6881,4.0,0.0
2,2022-11-28 04:21:02,None,Algeria,271061,6881,0.0,0.0
2,2022-11-29 04:21:05,None,Algeria,271079,6881,18.0,0.0
2,2022-11-30 04:21:07,None,Algeria,271082,6881,3.0,0.0
3,2022-11-23 04:21:06,None,Andorra,46824,156,-224258.0,-6725.0
3,2022-11-24 04:21:09,None,Andorra,46824,156,0.0,0.0
3,2022-11-25 04:21:06,None,Andorra,46824,156,0.0,0.0
3,2022-11-26 04:21:11,None,Andorra,46824,156,0.0,0.0
3,2022-11-27 04:21:05,None,Andorra,46824,156,0.0,0.0
3,2022-11-28 04:21:02,None,Andorra,46824,156,0.0,0.0
3,2022-11-29 04:21:05,None,Andorra,46824,156,0.0,0.0
3,2022-11-30 04:21:07,None,Andorra,46824,156,0.0,0.0
4,2022-11-23 04:21:06,None,Angola,103131,1917,56307.0,1761.0
4,2022-11-24 04:21:09,None,Angola,104491,1923,1360.0,6.0
4,2022-11-25 04:21:06,None,Angola,104491,1923,0.0,0.0
4,2022-11-26 04:21:11,None,Angola,104491,1923,0.0,0.0
4,2022-11-27 04:21:05,None,Angola,104491,1923,0.0,0.0
4,2022-11-28 04:21:02,None,Angola,104491,1923,0.0,0.0
4,2022-11-29 04:21:05,None,Angola,104491,1923,0.0,0.0
4,2022-11-30 04:21:07,None,Angola,104491,1923,0.0,0.0
5,2022-11-23 04:21:06,None,Antarctica,11,0,-104480.0,-1923.0
5,2022-11-24 04:21:09,None,Antarctica,11,0,0.0,0.0
5,2022-11-25 04:21:06,None,Antarctica,11,0,0.0,0.0
5,2022-11-26 04:21:11,None,Antarctica,11,0,0.0,0.0
5,2022-11-27 04:21:05,None,Antarctica,11,0,0.0,0.0
5,2022-11-28 04:21:02,None,Antarctica,11,0,0.0,0.0
5,2022-11-29 04:21:05,None,Antarctica,11,0,0.0,0.0
5,2022-11-30 04:21:07,None,Antarctica,11,0,0.0,0.0
6,2022-11-23 04:21:06,None,Antigua and Barbuda,9106,146,9095.0,146.0
6,2022-11-24 04:21:09,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-25 04:21:06,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-26 04:21:11,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-27 04:21:05,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-28 04:21:02,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-29 04:21:05,None,Antigua and Barbuda,9106,146,0.0,0.0
6,2022-11-30 04:21:07,None,Antigua and Barbuda,9106,146,0.0,0.0
7,2022-11-23 04:21:06,None,Argentina,9723924,130017,9714818.0,129871.0
7,2022-11-24 04:21:09,None,Argentina,9723924,130017,0.0,0.0
7,2022-11-25 04:21:06,None,Argentina,9723924,130017,0.0,0.0
7,2022-11-26 04:21:11,None,Argentina,9723924,130017,0.0,0.0
7,2022-11-27 04:21:05,None,Argentina,9723924,130017,0.0,0.0
7,2022-11-28 04:21:02,None,Argentina,9727247,130025,3323.0,8.0
7,2022-11-29 04:21:05,None,Argentina,9727247,130025,0.0,0.0
7,2022-11-30 04:21:07,None,Argentina,9727247,130025,0.0,0.0
8,2022-11-23 04:21:06,None,Armenia,445631,8709,-9281616.0,-121316.0
8,2022-11-24 04:21:09,None,Armenia,445631,8709,0.0,0.0
8,2022-11-25 04:21:06,None,Armenia,445631,8709,0.0,0.0
8,2022-11-26 04:21:11,None,Armenia,445631,8709,0.0,0.0
8,2022-11-27 04:21:05,None,Armenia,445631,8709,0.0,0.0
8,2022-11-28 04:21:02,None,Armenia,445631,8709,0.0,0.0
8,2022-11-29 04:21:05,None,Armenia,445737,8710,106.0,1.0
8,2022-11-30 04:21:07,None,Armenia,445737,8710,0.0,0.0
9,2022-11-23 04:21:06,Australian Capital Territory,Australia,212092,129,-233645.0,-8581.0
9,2022-11-24 04:21:09,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-25 04:21:06,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-26 04:21:11,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-27 04:21:05,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-28 04:21:02,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-29 04:21:05,Australian Capital Territory,Australia,212092,129,0.0,0.0
9,2022-11-30 04:21:07,Australian Capital Territory,Australia,209414,129,-2678.0,0.0
10,2022-11-23 04:21:06,New South Wales,Australia,3608974,5515,3399560.0,5386.0
10,2022-11-24 04:21:09,New South Wales,Australia,3608974,5515,0.0,0.0
10,2022-11-25 04:21:06,New South Wales,Australia,3640480,5540,31506.0,25.0
10,2022-11-26 04:21:11,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-27 04:21:05,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-28 04:21:02,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-29 04:21:05,New South Wales,Australia,3640480,5540,0.0,0.0
10,2022-11-30 04:21:07,New South Wales,Australia,3640480,5540,0.0,0.0
11,2022-11-23 04:21:06,Northern Territory,Australia,99410,79,-3541070.0,-5461.0
11,2022-11-24 04:21:09,Northern Territory,Australia,99410,79,0.0,0.0
11,2022-11-25 04:21:06,Northern Territory,Australia,99737,79,327.0,0.0
11,2022-11-26 04:21:11,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-27 04:21:05,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-28 04:21:02,Northern Territory,Australia,99737,79,0.0,0.0
11,2022-11-29 04:21:05,Northern Territory,Australia,99737,79,0.0,0.0
