id,createdAt,tweetText,location
1597639547156074497,2022-11-29 17:12:05+00:00,If the vaccine doesnt prevent COVID it doesnt stop transmission and if you get COVID it could still be fatalso what was the point of the vaccine,Florida
1597687514848190464,2022-11-29 20:22:41+00:00,Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work masks are useless amp the lockdowns did more harm than good Thank you for coming to my TED talk,United States
1597847206949969920,2022-11-30 06:57:15+00:00,_ If there is death due to the side effects of covid vaccine anywhere in the country then the government is not responsible f,India
1597847206392135680,2022-11-30 06:57:15+00:00, Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work,
1597847182354546689,2022-11-30 06:57:09+00:00," Covid vaccine effectiveness countdown 

 Sound On

",ישראל
1597847172753805312,2022-11-30 06:57:07+00:00," COVID DEATHS

 The Modi Govt has told the Supreme Court in an affidavit stating that the central go",
1597847139031601152,2022-11-30 06:56:59+00:00, Feels good to be able to freely tell the world that the covid vaccine is dogshit without being banned,"Xenia, OH"
1597847134791139328,2022-11-30 06:56:58+00:00," I recently went to one of the top heart doctors in Norway for a checkup of heart palpitations

First thing he asked me w",
1597847115094532096,2022-11-30 06:56:53+00:00,Backwards effort to protect privacy MLA Thomas Dang fined 7200 for cyber attack on Alberta COVID vaccinesite ,United States
1597847114196844546,2022-11-30 06:56:53+00:00,Backwards effort to protect privacy MLA Thomas Dang fined 7200 for cyber attack on Alberta COVID vaccinesite ,United States
1597847110984110081,2022-11-30 06:56:52+00:00,Backwards effort to protect privacy MLA Thomas Dang fined 7200 for cyber attack on Alberta COVID vaccinesite ,United States
1597639543477653504,2022-11-29 17:12:04+00:00,"_12602      So the covid vaccine doesnt reduce rates of transmission or contraction because thats what lockdowns are for but also they totally do reduce them because theyre fucking vaccines and thats what theyre for

Make sense of that for me",
1597639515216445442,2022-11-29 17:11:57+00:00," How is this post still up  please do better than this 

Literally no legitimate medicalscientific data anywhere recommends receiving only 1 covid vaccineyear as immunity wanes quickly with the only vaccines currently available

Please remove this misinformation",
1597639504957173760,2022-11-29 17:11:55+00:00,   I mean the lies about Covid and the vaccine,Portugal. Brazil. Ireland. 
1597639502407045120,2022-11-29 17:11:54+00:00, Alcohol and the Covid vaccine are the only two drugs where people demand an explanation for your abstinence,
1597639491820212224,2022-11-29 17:11:52+00:00, Pfizer CEO Blasted By UK Pharma Watchdog For Disgracefully Misleading Statements On COVID Vaccine ,
1597639488888455169,2022-11-29 17:11:51+00:00," If you had funds on FTX the following organizations would like to thank you for your support

1 The Democrats
2 The F",
1597639487118798848,2022-11-29 17:11:51+00:00,  The purpose of the COVID vaccine is depopulation ,"Florida, USA"
