id,createdAt,location,tweetText
1597639547156074497,2022-11-29 17:12:05+00:00,Florida,If the vaccine doesnt prevent COVID it doesnt stop transmission and if you get COVID it could still be fatalso what was the point of the vaccine
1597687514848190464,2022-11-29 20:22:41+00:00,United States,Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work masks are useless amp the lockdowns did more harm than good Thank you for coming to my TED talk
1597869119378186240,2022-11-30 08:24:19+00:00,, Ive heard a rumor not long after covid fully spread and it was that death may be a consequence of taking the vaccine which will show 23yrs after the vaccination
1597869092328701952,2022-11-30 08:24:13+00:00,"Portsmouth, England",_guy Why do you suppose no politicians died from Covid or the vaccine
1597869089716068352,2022-11-30 08:24:12+00:00,," Covid vaccine effectiveness countdown 

 Sound On

"
1597869074645929984,2022-11-30 08:24:09+00:00,,  Doubt if this gormint has data on covid vaccine deaths suspected or they have initiated any inquiry
1597869063795249152,2022-11-30 08:24:06+00:00,Freiburg im Breisgau," Killed by the covid vaccine Whenever they say cause unknown it means Pfizer did it
"
1597869058757578752,2022-11-30 08:24:05+00:00,Kiwi, Covid vaccine adverse effects blood clots strokes heart attacks etc are caused by fear mongering and scare tactics us
1597869049501089792,2022-11-30 08:24:03+00:00,"Florida, USA", Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work
1597869046178844672,2022-11-30 08:24:02+00:00,, If the vaccine doesnt prevent COVID it doesnt stop transmission and if you get COVID it could still be fatalso what
1597869025929101313,2022-11-30 08:23:57+00:00,, Every doctor who had their medical licence revoked for COVID misinformation or giving vaccine exemptions should be imm
1597869001568571392,2022-11-30 08:23:51+00:00,"South Wales, UK","  _Randgad _ Just stop

"
1597868991116349440,2022-11-30 08:23:49+00:00,"San Francisco, CA", The ADB and the World Bank have demanded a special audit of the loans they granted to the Philippine government for the
1597639543477653504,2022-11-29 17:12:04+00:00,,"_12602      So the covid vaccine doesnt reduce rates of transmission or contraction because thats what lockdowns are for but also they totally do reduce them because theyre fucking vaccines and thats what theyre for

Make sense of that for me"
1597639515216445442,2022-11-29 17:11:57+00:00,," How is this post still up  please do better than this 

Literally no legitimate medicalscientific data anywhere recommends receiving only 1 covid vaccineyear as immunity wanes quickly with the only vaccines currently available

Please remove this misinformation"
1597639504957173760,2022-11-29 17:11:55+00:00,Portugal. Brazil. Ireland. ,   I mean the lies about Covid and the vaccine
1597639502407045120,2022-11-29 17:11:54+00:00,, Alcohol and the Covid vaccine are the only two drugs where people demand an explanation for your abstinence
1597639491820212224,2022-11-29 17:11:52+00:00,, Pfizer CEO Blasted By UK Pharma Watchdog For Disgracefully Misleading Statements On COVID Vaccine 
1597639488888455169,2022-11-29 17:11:51+00:00,," If you had funds on FTX the following organizations would like to thank you for your support

1 The Democrats
2 The F"
1597639487118798848,2022-11-29 17:11:51+00:00,"Florida, USA",  The purpose of the COVID vaccine is depopulation 
1597639482580570112,2022-11-29 17:11:50+00:00,"Ratlam, (MP) India","_News On what basis did the Government of India approve the vaccine for the treatment of Covid19  While the vaccine does not protect against corona

The disease in which the medicine used is not effective that medicine is useless

_medicine"
1597639423641862144,2022-11-29 17:11:35+00:00,,     Do your own research nobody is dropping dead from the vaccine Sure on a rare occasion there are side effects for few however this is the same for any vaccine or even medical procedure at that Here Ill help you 
1597639408718467072,2022-11-29 17:11:32+00:00,SoCal, covid vaccine
1597639389915811841,2022-11-29 17:11:27+00:00,USA, COVID was made by design in a Chinese lab and the vaccine doesnt work In fact it does more damage than the disease You ca
1597639380818350080,2022-11-29 17:11:25+00:00,," Twitter never policed Covid19 misinformation such as

lockdowns work
masks work
shutting down schools is effective
the vaccine prevents transmission
the vaccine is highly effective
the vaccine rarely has side effects
Ivermectin is a horse medication"
1597639346168877057,2022-11-29 17:11:17+00:00,"Flyover Country, USA ", An updated COVID vaccine can help protect you from the worst outcomes of COVID If its been over 2 months since your last
1597639331036168193,2022-11-29 17:11:13+00:00,, Vaccines are a good thing The COVID shot is not a vaccine
1597639325050875905,2022-11-29 17:11:12+00:00,"Hyderabad, India"," PM Modi should fully get credit for COVID19 Vaccine He saved India from COVID  JP Nadda

We amp our Govt are not res"
1597639317270433794,2022-11-29 17:11:10+00:00,"Silver Spring, MD", You belong at VCU Germs dont Check out  to cut flu and COVID out of your social circle with a free vacci
1597639263927308289,2022-11-29 17:10:57+00:00,, It is great news that the California appellate court affirmed that vaccine mandates under California law must come fr
1597639196297994240,2022-11-29 17:10:41+00:00,,_Sall This is horrifying And reminiscent of the time Hitler accused the Jews of spreading typhus Covid is not a pandemic of th
1597639166770049027,2022-11-29 17:10:34+00:00,Earth, Covid came in 2019 vaccine in 2020 this study refers to a decline from 2000 onwards Thats a whooping 20 year gap
1597639152279113728,2022-11-29 17:10:31+00:00,"Alberta, Canada", So honest question for antivaxxers Is it just the Covid vaccine you are protesting Or are you also opposed to vaccine
1597639147535339521,2022-11-29 17:10:30+00:00,,   That is one of the most pathetic posts of all time Heres a fun fact for you more people died with covid under Bidens first year With a vaccine available
1597639138681196544,2022-11-29 17:10:28+00:00,,"  Hi Bill I realised too that Danish isnt a language most of us know but wanted to send a couple recent articles that hopefully will get us all to the truth together  There are two articles here
1 
2 "
1597639136818909190,2022-11-29 17:10:27+00:00,San Diego, My colleagues  especially  and   have spent countless hours poring over COVID death records
1597639133366624256,2022-11-29 17:10:26+00:00,"Wicklow Town, Ireland.",_RADnesslin    Those are the same people that were hoping for the economy to crash and America to fall
1597639125708189696,2022-11-29 17:10:24+00:00,Hotel TASADAY,"Latest COVID vaccine will help people trying to move on from pandemic a little

1 day ago 
ABC News  "
1597639091666833408,2022-11-29 17:10:16+00:00,, Its not Covid that you fear Its death You dont need a vaccine You need a perspective on life
1597639077750181888,2022-11-29 17:10:13+00:00,"Ottawa/Adwe/Odwng, Canada",   The ONLY way out IS mandatory vaccination for ALL and boosting with a variant specific
1597639071911682049,2022-11-29 17:10:12+00:00,," Reality check

 Men and women are not equal 
 Fat is not beautiful 
 Scientists are paid to lie
 The vaccine is n"
1597639033085390849,2022-11-29 17:10:02+00:00,"tampa ,florida", 17 months of IV I G infusions because of the Covid vaccine the damage my short and long nerves in my body is attacking
1597639030262632449,2022-11-29 17:10:02+00:00,"Onalaska, Texas"," COVID has a 998 survival rate 

Do not take anything  prescribes and especially not this useless vaccine"
