id,createdAt,location,tweetText
1.59764E+18,2022-11-29 17:12:05+00:00,Florida,If the vaccine doesnt prevent COVID it doesnt stop transmission and if you get COVID it could still be fatalso what was the point of the vaccine
1.59769E+18,2022-11-29 20:22:41+00:00,United States,Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work masks are useless amp the lockdowns did more harm than good Thank you for coming to my TED talk
1.59787E+18,2022-11-30 08:24:03+00:00,"Florida, USA", Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work
1.59787E+18,2022-11-30 08:23:49+00:00,"San Francisco, CA", The ADB and the World Bank have demanded a special audit of the loans they granted to the Philippine government for the
1.59764E+18,2022-11-29 17:11:51+00:00,"Florida, USA",  The purpose of the COVID vaccine is depopulation 
1.59764E+18,2022-11-29 17:11:32+00:00,SoCal, covid vaccine
1.59764E+18,2022-11-29 17:11:27+00:00,USA, COVID was made by design in a Chinese lab and the vaccine doesnt work In fact it does more damage than the disease You ca
1.59764E+18,2022-11-29 17:11:17+00:00,"Flyover Country, USA ", An updated COVID vaccine can help protect you from the worst outcomes of COVID If its been over 2 months since your last
1.59764E+18,2022-11-29 17:11:10+00:00,"Silver Spring, MD", You belong at VCU Germs dont Check out  to cut flu and COVID out of your social circle with a free vacci
1.59764E+18,2022-11-29 17:10:31+00:00,"Alberta, Canada", So honest question for antivaxxers Is it just the Covid vaccine you are protesting Or are you also opposed to vaccine
1.59764E+18,2022-11-29 17:10:27+00:00,San Diego, My colleagues  especially  and   have spent countless hours poring over COVID death records
1.59764E+18,2022-11-29 17:10:13+00:00,"Ottawa/Adwe/Odwng, Canada",   The ONLY way out IS mandatory vaccination for ALL and boosting with a variant specific
1.59764E+18,2022-11-29 17:10:02+00:00,"tampa ,florida", 17 months of IV I G infusions because of the Covid vaccine the damage my short and long nerves in my body is attacking
1.59764E+18,2022-11-29 17:10:02+00:00,"Onalaska, Texas"," COVID has a 998 survival rate 

Do not take anything  prescribes and especially not this useless vaccine"
1.59764E+18,2022-11-29 17:09:28+00:00,"Florida, USA",  I got banned for saying I wont get the Covid vaccine
1.59764E+18,2022-11-29 17:09:25+00:00,Alberta,"_Juvenal   Updated on February 14 2022
The PfizerBioNTech and Moderna COVID19 vaccines have received full approval by the Food and Drug Administration FDA
"
1.59764E+18,2022-11-29 17:09:10+00:00,"Las Vegas, NV", Covid bioweapon or not mainly targets elderly and immune compromised individuals Chances are almost all kids have
1.59764E+18,2022-11-29 17:09:00+00:00,United States of America, Adverse side effects of the   is due to stress caused by antivaxxers according to a study published on o
1.59764E+18,2022-11-29 17:08:56+00:00,"Buffalo, NY", you might be interested in this data They are official numbers from Erie County NY Our idiot County Executive didnt get the memo the rest of the Dems got about burying inconvenient vaccine failure figures 94 of Covid deaths in the fully vaccinated 
1.59764E+18,2022-11-29 17:08:47+00:00,Canada,    Phizer literally came out and said the vaccine dose not stop transmission Had Covid unvaccinated was sick for 3 days and am totally fine
1.59764E+18,2022-11-29 17:08:41+00:00,okc,   Its an analogy Examples of things that offer overlapping levels of protection Being generally in good shape is good for Covid defense but the vaccine is even better
1.59764E+18,2022-11-29 17:08:38+00:00,"Ottawa, Ontario", Should see lower vaccine uptake across the board now that government and public health leaders have broken trust with the public after trying to coerce millions into taking Covid vaccines Any entirely predictable outcome
1.59764E+18,2022-11-29 17:08:36+00:00,Canada,"If you have a moment please answer this poll question Should provincial funding be pulled from organizations requiring employeesparticipants to have a COVID19 vaccine

"
1.59764E+18,2022-11-29 17:08:10+00:00,"Texas, USA","_txt  my wackadoodle cousin tried to do this religious exemption crap on the covid vaccine

WE ARE CATHOLIC THE POPE SAYS ITS OUR DUTY TO PROTECT THE WEAK AND TO GET ALL VACCINATIONS 

Stupid"
1.59764E+18,2022-11-29 17:08:02+00:00,"Las Vegas, Nevada",Tis the season Get your updated COVID19 vaccine before the holidays There are  vaccine clinics throughout the Las Vegas Valley  
1.59764E+18,2022-11-29 17:07:58+00:00,"Alabama, USA",Covid19 and the vaccine is a scam
1.59787E+18,2022-11-30 08:26:21+00:00,USA," Since twitter is no longer enforcing COVID 19 disinformation bans I can finally tell you the truth
The Moderna vaccine inc"
1.59787E+18,2022-11-30 08:27:37+00:00,"New York, NY", Now that Twitter stopped enforcing its COVID misinformation policies I can finally tell you that the vaccine doesnt work
1.59763E+18,2022-11-29 16:43:10+00:00,Vancouver Island, Theres a COVID19 vaccine clinic open daily in  at the AgRec Centre If eligible book an appointment and head
1.59763E+18,2022-11-29 16:43:10+00:00,A Farm In Northeast Ohio, The reason millions of people ran out to get Jab after Jab after Jab after they were repeatedly lied to about the effecti
1.59763E+18,2022-11-29 16:43:06+00:00,"Jersey City, New Jersey","  to impose  restrictions on international travel

tcolJL7dOyOu8 "
1.59763E+18,2022-11-29 16:43:02+00:00,Vancouver Island, Theres a COVID19 vaccine clinic open today for all ages at the  Health Care Centre If youre eligible book an a
1.59763E+18,2022-11-29 16:43:00+00:00,"Boston, MA"," If you had funds on FTX the following organizations would like to thank you for your support

1 The Democrats
2 The F"
1.59763E+18,2022-11-29 16:42:54+00:00,"Oregon, USA", Judicial Watch received 1081 pages of records from the HHS detailing internal discussions about myocarditis and the COV
1.59763E+18,2022-11-29 16:42:33+00:00,"Washington, DC", Alcohol and the Covid vaccine are the only two drugs where people demand an explanation for your abstinence
1.59763E+18,2022-11-29 16:42:25+00:00,Jacksonville Fl., Moron will mandate experimental covid shots to your children so the pharm companies will be exempt from litigation over harm caused by the vaccine That is the only reason they want to mandate it They know they screwed up and now want to cover their asses
1.59763E+18,2022-11-29 16:42:09+00:00,"Mississippi, USA"," COVID has a 998 survival rate 

Do not take anything  prescribes and especially not this useless vaccine"
1.59763E+18,2022-11-29 16:42:01+00:00,"Ontario, Canada", How is it 2022 and you still dont understand how the covid vaccine works  It is willful ignorance at this point
1.59763E+18,2022-11-29 16:41:59+00:00,Ontario Canada,  _pop _PaulAngel   Good thing youre only arguing against a smart person then so you still have a shot I believe in you How does the vaccine cause a covid test
1.59763E+18,2022-11-29 16:41:54+00:00,So Cal, So they want to rid the military if vaccines that protect them and they protect us  See the problem there  Covid vaccines are another tool in the tool box   What vaccine is next Military members may need to respond at a moments notice dont like it dont join Get out
1.59763E+18,2022-11-29 16:41:41+00:00,"Canada, Universe","_AB The smoking gun

The Trudeau Liberals were dead wrong about their Covid19 vaccine assumptions and policy They knew"
1.59763E+18,2022-11-29 16:41:26+00:00,"San Diego, CA","VOSD intern turned fulltime education reporter  has also been rocking his beat During his internship he produced this stellar story on a local church that has become a central hub of local conservative organizing 
"
1.59763E+18,2022-11-29 16:41:23+00:00,"San Diego, CA","My colleagues  especially  and   have spent countless hours poring over COVID death records to reveal important takeaways We literally went to court so we could tell these stories 
"
1.59763E+18,2022-11-29 16:40:45+00:00,Ohio, On behalf of all the ER amp other health care providers vaccine researchers public health workers epidemiologists healt
