,createdAt,tweetText,polarity,sentiment
0,2022-11-29 17:12:05+00:00,vaccine doesnt prevent covid doesnt stop transmission get covid could still fatalso point vaccine,0.0,Neutral
1,2022-11-29 20:22:41+00:00,twitter stopped enforcing covid misinformation policies finally tell vaccine doesnt work masks useless amp lockdowns harm good thank coming ted talk,0.06666666666666665,Positive
3,2022-11-30 08:24:13+00:00,_guy suppose politicians died covid vaccine,0.0,Neutral
6,2022-11-30 08:24:06+00:00,killed covid vaccine whenever say cause unknown means pfizer,-0.15000000000000002,Negative
7,2022-11-30 08:24:05+00:00,covid vaccine adverse effects blood clots strokes heart attacks etc caused fear mongering scare tactics us,0.0,Neutral
8,2022-11-30 08:24:03+00:00,twitter stopped enforcing covid misinformation policies finally tell vaccine doesnt work,0.0,Neutral
11,2022-11-30 08:23:51+00:00,_randgad _ stop,0.0,Neutral
12,2022-11-30 08:23:49+00:00,adb world bank demanded special audit loans granted philippine government,0.35714285714285715,Positive
15,2022-11-29 17:11:55+00:00,mean lies covid vaccine,-0.3125,Negative
19,2022-11-29 17:11:51+00:00,purpose covid vaccine depopulation,0.0,Neutral
20,2022-11-29 17:11:50+00:00,_news basis government india approve vaccine treatment covid19 vaccine protect corona disease medicine used effective medicine useless _medicine,0.04999999999999999,Positive
22,2022-11-29 17:11:32+00:00,covid vaccine,0.0,Neutral
23,2022-11-29 17:11:27+00:00,covid made design chinese lab vaccine doesnt work fact damage disease ca,0.0,Neutral
25,2022-11-29 17:11:17+00:00,updated covid vaccine help protect worst outcomes covid 2 months since last,-0.5,Negative
27,2022-11-29 17:11:12+00:00,pm modi fully get credit covid19 vaccine saved india covid jp nadda amp govt res,0.0,Neutral
28,2022-11-29 17:11:10+00:00,belong vcu germs dont check cut flu covid social circle free vacci,0.21666666666666667,Positive
31,2022-11-29 17:10:34+00:00,covid came 2019 vaccine 2020 study refers decline 2000 onwards thats whooping 20 year gap,0.0,Neutral
32,2022-11-29 17:10:31+00:00,honest question antivaxxers covid vaccine protesting also opposed vaccine,0.6,Positive
35,2022-11-29 17:10:27+00:00,colleagues especially spent countless hours poring covid death records,-0.1,Negative
36,2022-11-29 17:10:26+00:00,_radnesslin people hoping economy crash america fall,0.0,Neutral
37,2022-11-29 17:10:24+00:00,latest covid vaccine help people trying move pandemic little 1 day ago abc news,0.15625,Positive
39,2022-11-29 17:10:13+00:00,way mandatory vaccination boosting variant specific,0.0,Neutral
41,2022-11-29 17:10:02+00:00,17 months iv g infusions covid vaccine damage short long nerves body attacking,-0.025,Negative
42,2022-11-29 17:10:02+00:00,covid 998 survival rate take anything prescribes especially useless vaccine,-1.0,Negative
44,2022-11-29 17:09:47+00:00,viral components make virus covid19 vaccines contain sarsco2 virus yo,0.0,Neutral
45,2022-11-29 17:09:28+00:00,got banned saying wont get covid vaccine,0.0,Neutral
46,2022-11-29 17:09:25+00:00,_juvenal updated february 14 2022 pfizerbiontech moderna covid19 vaccines received full approval food drug administration fda,0.35,Positive
48,2022-11-29 17:09:10+00:00,covid bioweapon mainly targets elderly immune compromised individuals chances almost kids,0.16666666666666666,Positive
49,2022-11-29 17:09:06+00:00,clear covid problem vaccine problem,0.10000000000000002,Positive
50,2022-11-29 17:09:00+00:00,adverse side effects due stress caused antivaxxers according study published,-0.125,Negative
51,2022-11-29 17:08:56+00:00,might interested data official numbers erie county ny idiot county executive didnt get memo rest dems got burying inconvenient vaccine failure figures 94 covid deaths fully vaccinated,-0.36666666666666664,Negative
52,2022-11-29 17:08:47+00:00,phizer literally came said vaccine dose stop transmission covid unvaccinated sick 3 days totally fine,-0.1488095238095238,Negative
54,2022-11-29 17:08:41+00:00,analogy examples things offer overlapping levels protection generally good shape good covid defense vaccine even better,0.6333333333333333,Positive
56,2022-11-29 17:08:38+00:00,see lower vaccine uptake across board government public health leaders broken trust public trying coerce millions taking covid vaccines entirely predictable outcome,-0.15000000000000002,Negative
57,2022-11-29 17:08:36+00:00,moment please answer poll question provincial funding pulled organizations requiring employeesparticipants covid19 vaccine,0.0,Neutral
59,2022-11-29 17:08:20+00:00,tested positive covid think really name vaccine,0.21363636363636362,Positive
60,2022-11-29 17:08:16+00:00,new study describes successful animal tests vaccine offering hope country protected ag,0.4431818181818182,Positive
61,2022-11-29 17:08:10+00:00,_txt wackadoodle cousin tried religious exemption crap covid vaccine catholic pope says duty protect weak get vaccinations stupid,-0.395,Negative
62,2022-11-29 17:08:02+00:00,tis season get updated covid19 vaccine holidays vaccine clinics throughout las vegas valley,0.0,Neutral
64,2022-11-29 17:08:00+00:00,worlds 1st nasal covid vaccine approved 3 months ago data,0.0,Neutral
65,2022-11-29 17:07:58+00:00,covid19 vaccine scam,0.0,Neutral
70,2022-11-30 08:26:47+00:00,_truther jorja halliday tragically died myocarditis caused covid tested positive four days earlier b,0.11363636363636363,Positive
74,2022-11-30 08:26:21+00:00,since twitter longer enforcing covid 19 disinformation bans finally tell truth moderna vaccine inc,0.0,Neutral
78,2022-11-30 08:27:40+00:00,_laco breaking 6th circuit court appeals upheld injunction protecting unvaccinated air force service members bein,0.0,Neutral
80,2022-11-30 08:27:37+00:00,100k signatures mean covid19 vaccine approval process debated please sign amp share,-0.3125,Negative
83,2022-11-30 08:27:31+00:00,pm sh india showing way covid care congratulations team biotechnology led dr rajesh g,0.0,Neutral
85,2022-11-30 08:27:25+00:00,breaking french scientists revived zombie virus frozen lake russia 50000 years,0.0,Neutral
88,2022-11-29 16:43:22+00:00,_liberals girls sucked dick didnt reason died covid lol still sucking dick protects covid replace dick vaccine get lol,0.8,Positive
89,2022-11-29 16:43:19+00:00,clinics across massachusetts offering 75 gift cards covid vaccines boosters,0.0,Neutral
91,2022-11-29 16:43:16+00:00,one effect covid19 bivalent vaccine hasnt picked msm course fact alters dna make penis grown inch several peer reviewed studies noted side effect rna vaccines,0.0,Neutral
93,2022-11-29 16:43:11+00:00,_truther antivax film died suddenly claims covid vaccine causing blood clots never seen 2021,0.0,Neutral
94,2022-11-29 16:43:10+00:00,theres covid19 vaccine clinic open daily agrec centre eligible book appointment head,0.0,Neutral
95,2022-11-29 16:43:10+00:00,reason millions people ran get jab jab jab repeatedly lied effecti,0.0,Neutral
96,2022-11-29 16:43:09+00:00,concept covid19 vaccine pass take shot dont get infected yo,0.0,Neutral
97,2022-11-29 16:43:06+00:00,impose restrictions international travel tcoljl7doyou8,0.0,Neutral
98,2022-11-29 16:43:02+00:00,theres covid19 vaccine clinic open today ages health care centre youre eligible book,0.0,Neutral
99,2022-11-29 16:43:00+00:00,funds ftx following organizations would like thank support 1 democrats 2 f,0.0,Neutral
100,2022-11-29 16:42:57+00:00,covid vaccine promised chief corruption museveni,0.0,Neutral
101,2022-11-29 16:42:54+00:00,judicial watch received 1081 pages records hhs detailing internal discussions myocarditis cov,0.0,Neutral
104,2022-11-29 16:42:33+00:00,alcohol covid vaccine two drugs people demand explanation abstinence,0.0,Neutral
108,2022-11-29 16:42:25+00:00,moron mandate experimental covid shots children pharm companies exempt litigation harm caused vaccine reason want mandate know screwed want cover asses,-0.35000000000000003,Negative
113,2022-11-29 16:42:06+00:00,good otherwise itd ban entire legacy media cdc insisted masks work,0.35,Positive
114,2022-11-29 16:42:06+00:00,serious question many 19 vaccine approvals odd wasnt india bmj reported uk autho,9.25185853854297e-18,Positive
115,2022-11-29 16:42:01+00:00,2022 still dont understand covid vaccine works willful ignorance point,0.0,Neutral
